Area,Category,Property Type,Bedrooms,Date,Type,Value
Kingston upon Thames KT,Price Asked,Flat,All,2016-06,£,339000.0
Kingston upon Thames KT,Price Asked,Flat,All,2016-06,£,339475.0
Kingston upon Thames KT,Price Asked,Flat,All,2016-07,£,350000.0
Kingston upon Thames KT,Price Asked,Flat,All,2016-07,£,350000.0
Kingston upon Thames KT,Price Asked,Flat,All,2016-08,£,360000.0
Kingston upon Thames KT,Price Asked,Flat,All,2016-08,£,360000.0
Kingston upon Thames KT,Price Asked,Flat,All,2016-09,£,370000.0
Kingston upon Thames KT,Price Asked,Flat,All,2016-09,£,370000.0
Kingston upon Thames KT,Price Asked,Flat,All,2016-10,£,369475.0
Kingston upon Thames KT,Price Asked,Flat,All,2016-10,£,369950.0
Kingston upon Thames KT,Price Asked,Flat,All,2016-11,£,375000.0
Kingston upon Thames KT,Price Asked,Flat,All,2016-11,£,375000.0
Kingston upon Thames KT,Price Asked,Flat,All,2016-12,£,369950.0
Kingston upon Thames KT,Price Asked,Flat,All,2016-12,£,369950.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-01,£,370000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-01,£,375000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-02,£,350000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-02,£,350000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-03,£,359950.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-03,£,359995.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-04,£,350000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-04,£,350000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-05,£,359000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-05,£,359475.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-06,£,365000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-06,£,365000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-07,£,363975.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-07,£,362500.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-08,£,350000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-08,£,350000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-09,£,349950.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-09,£,349950.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-10,£,350000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-10,£,350000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-11,£,350000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-11,£,340000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-12,£,350000.0
Kingston upon Thames KT,Price Asked,Flat,All,2017-12,£,345000.0
Kingston upon Thames KT,Price Asked,Flat,All,2018-01,£,349950.0
Kingston upon Thames KT,Price Asked,Flat,All,2018-01,£,340000.0
Kingston upon Thames KT,Price Asked,Flat,All,2018-02,£,349950.0
Kingston upon Thames KT,Price Asked,Flat,All,2018-02,£,329950.0
Kingston upon Thames KT,Price Asked,Flat,All,2018-03,£,349950.0
Kingston upon Thames KT,Price Asked,Flat,All,2018-03,£,300000.0
North London N,Price Asked,Flat,All,2016-06,£,520000.0
North London N,Price Asked,Flat,All,2016-06,£,520000.0
North London N,Price Asked,Flat,All,2016-07,£,500000.0
North London N,Price Asked,Flat,All,2016-07,£,500000.0
North London N,Price Asked,Flat,All,2016-08,£,525000.0
North London N,Price Asked,Flat,All,2016-08,£,525000.0
North London N,Price Asked,Flat,All,2016-09,£,520000.0
North London N,Price Asked,Flat,All,2016-09,£,520000.0
North London N,Price Asked,Flat,All,2016-10,£,497000.0
North London N,Price Asked,Flat,All,2016-10,£,499950.0
North London N,Price Asked,Flat,All,2016-11,£,498250.0
North London N,Price Asked,Flat,All,2016-11,£,499950.0
North London N,Price Asked,Flat,All,2016-12,£,499950.0
North London N,Price Asked,Flat,All,2016-12,£,499950.0
North London N,Price Asked,Flat,All,2017-01,£,500000.0
North London N,Price Asked,Flat,All,2017-01,£,500000.0
North London N,Price Asked,Flat,All,2017-02,£,499950.0
North London N,Price Asked,Flat,All,2017-02,£,499950.0
North London N,Price Asked,Flat,All,2017-03,£,495000.0
North London N,Price Asked,Flat,All,2017-03,£,499000.0
North London N,Price Asked,Flat,All,2017-04,£,482475.0
North London N,Price Asked,Flat,All,2017-04,£,479475.0
North London N,Price Asked,Flat,All,2017-05,£,475000.0
North London N,Price Asked,Flat,All,2017-05,£,475000.0
North London N,Price Asked,Flat,All,2017-06,£,480000.0
North London N,Price Asked,Flat,All,2017-06,£,475000.0
