Area,Category,Date,Type,Value
Erith DA8 2,Population: Age < 20,2018-02,Number,2538
Erith DA8 2,Population: Age 20-24,2018-02,Number,1007
Erith DA8 2,Population: Age 25-34,2018-02,Number,1029
Erith DA8 2,Population: Age 35-39,2018-02,Number,1180
Erith DA8 2,Population: Age 40-44,2018-02,Number,895
Erith DA8 2,Population: Age 45-49,2018-02,Number,1107
Erith DA8 2,Population: Age 50-54,2018-02,Number,892
Erith DA8 2,Population: Age 55-59,2018-02,Number,1099
Erith DA8 2,Population: Age 60-64,2018-02,Number,615
Erith DA8 2,Population: Age 65-69,2018-02,Number,718
Erith DA8 2,Population: Age 70-74,2018-02,Number,358
Erith DA8 2,Population: Age 75-79,2018-02,Number,593
Erith DA8 2,Population: Age 80-84,2018-02,Number,296
Erith DA8 2,Population: Age 85-89,2018-02,Number,494
Erith DA8 2,Population: Age 90 +,2018-02,Number,148
